atlas_id,roi_uid,roi_original_index,global_original_column,roi_name,roi_label,description,hemisphere,network,x,y,z,metadata_source,metadata_version,metadata_license,metadata_sha256
HO112,ho112:roi033,33,149,Postcentral Gyrus (L),170,cortical,L,,-38.527563395810375,-27.754134509371553,51.863836824696804,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi034,34,150,Postcentral Gyrus (R),171,cortical,R,,37.99938385705484,-26.171287738755396,52.55514479359212,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi035,35,151,Superior Parietal Lobule (L),180,cortical,L,,-29.380262249827467,-49.552795031055894,57.65217391304347,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi036,36,152,Superior Parietal Lobule (R),181,cortical,R,,29.292666209732694,-47.771076079506514,59.07607950651132,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi037,37,153,"Supramarginal Gyrus, anterior division (L)",190,cortical,L,,-56.92811839323468,-32.79492600422833,37.295983086680764,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi038,38,154,"Supramarginal Gyrus, anterior division (R)",191,cortical,R,,58.54522613065327,-27.1105527638191,37.917085427135675,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi039,39,155,"Supramarginal Gyrus, posterior division (L)",200,cortical,L,,-54.87452471482891,-46.20342205323193,33.439163498098864,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi040,40,156,"Supramarginal Gyrus, posterior division (R)",201,cortical,R,,55.28914664457332,-40.46561723280861,33.824357912178954,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi041,41,157,Angular Gyrus (L),210,cortical,L,,-50.39029535864978,-55.68143459915612,29.9746835443038,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi042,42,158,Angular Gyrus (R),211,cortical,R,,52.054757015742645,-51.827515400410675,32.365503080082135,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
